Index,fileCostTime,messageCostTime,chainCodeCostTime
1,33.70000001788139,13.299999982118607,7.800000011920929
2,24.5,12.300000011920929,7
3,22.80000001192093,12.199999988079071,8.099999994039536
4,26.80000001192093,8.800000011920929,9.199999988079071
5,22.30000001192093,6.300000011920929,7.199999988079071
6,19.599999994039536,5.800000011920929,6.299999982118607
7,17.900000005960464,8,6.799999982118607
8,25.599999994039536,5.9000000059604645,6.5
9,22.099999994039536,7.5999999940395355,6
10,17,5.5999999940395355,5.9000000059604645
11,18.599999994039536,6.5,6.5999999940395355
12,17.799999982118607,6.300000011920929,6.100000023841858
13,19.099999994039536,5.800000011920929,6.4000000059604645
14,19.099999994039536,7.9000000059604645,7.600000023841858
15,18.599999994039536,10.5,6.9000000059604645
16,18.099999994039536,5.600000023841858,6.4000000059604645
17,16.400000005960464,9.200000017881393,6.699999988079071
18,18.299999982118607,6,6.5999999940395355
19,18.099999994039536,5.800000011920929,7.200000017881393
20,20.700000017881393,5.9000000059604645,7.199999988079071
21,17.599999994039536,5.899999976158142,7.800000011920929
22,20.099999994039536,8.599999994039536,9.900000005960464
23,16.19999998807907,6.200000017881393,6.699999988079071
24,18.700000017881393,7.0999999940395355,7.200000017881393
25,20.700000017881393,7,7.0999999940395355
26,16.700000017881393,5.800000011920929,8.099999994039536
27,18.200000017881393,6.4000000059604645,7.300000011920929
28,18.099999994039536,50,6.5
29,17.5,5.799999982118607,6
30,23.30000001192093,6,7.4000000059604645
31,19.100000023841858,6.199999988079071,6.300000011920929
32,19.400000005960464,6.0999999940395355,8
33,21.599999994039536,6.5999999940395355,6.199999988079071
34,17.80000001192093,7.199999988079071,7.899999976158142
35,18.30000001192093,5.5999999940395355,7.200000017881393
36,17.900000005960464,7.200000017881393,7.800000011920929
37,20.19999998807907,7.199999988079071,6.5999999940395355
38,17.900000005960464,8.900000005960464,7.300000011920929
39,17.30000001192093,6.4000000059604645,7
40,20.400000005960464,7.0999999940395355,7.300000011920929
41,22.400000005960464,6.5,9.800000011920929
42,21.399999976158142,5.5,7.0999999940395355
43,22,7.0999999940395355,6.700000017881393
44,18.799999982118607,6,6.100000023841858
45,18.799999982118607,6.5,8.200000017881393
46,19,8.5,6.199999988079071
47,19.099999994039536,8.599999994039536,7.5
48,18,6.5,6
49,19.099999994039536,7,7.5999999940395355
50,18.700000017881393,5.399999976158142,6
