Index,TimeCost
1,9.299999952316284
2,10.899999976158142
3,8.100000023841858
4,8.599999964237213
5,8
6,10.5
7,8.300000011920929
8,12.300000011920929
9,10.800000011920929
10,9.199999988079071
11,10.800000011920929
12,10.300000011920929
13,13.300000011920929
14,11.899999976158142
15,8.199999988079071
16,12.299999952316284
17,14.799999952316284
18,53.09999996423721
19,9.400000035762787
20,11.300000011920929
21,10.300000011920929
22,8.199999988079071
23,15
24,11.399999976158142
25,10.800000011920929
26,9.300000011920929
27,8.299999952316284
28,10.400000035762787
29,9.100000023841858
30,10.699999988079071
31,8.400000035762787
32,12.600000023841858
33,12
34,16.30000001192093
35,14.100000023841858
36,8.600000023841858
37,8.900000035762787
38,10.399999976158142
39,13.599999964237213
40,6.400000035762787
41,11
42,8.200000047683716
43,9.5
44,8.100000023841858
45,10.699999988079071
46,7.899999976158142
47,9.399999976158142
48,9.400000035762787
49,18.099999964237213
50,12.600000023841858
