Index,TimeCost
1,8.899999976158142
2,9.400000035762787
3,9.399999976158142
4,12.400000035762787
5,10
6,9
7,10
8,14.800000011920929
9,10.300000011920929
10,9.399999976158142
11,9.100000023841858
12,10.199999988079071
13,10.800000011920929
14,10.800000011920929
15,9.099999964237213
16,8.199999988079071
17,10.199999988079071
18,9.300000011920929
19,11.5
20,11.399999976158142
21,11
22,10.400000035762787
23,7.5
24,11.200000047683716
25,11.399999976158142
26,11.399999976158142
27,9.899999976158142
28,10.199999988079071
29,10.5
30,16
31,15.300000011920929
32,9.200000047683716
33,12.899999976158142
34,10.700000047683716
35,8.699999988079071
36,13.300000011920929
37,10.400000035762787
38,8.699999988079071
39,9.400000035762787
40,10
41,9.100000023841858
42,10.899999976158142
43,12.199999988079071
44,9.800000011920929
45,13.5
46,12.300000011920929
47,9.699999988079071
48,14.100000023841858
49,9.599999964237213
50,10.299999952316284
