Index,fileCostTime,messageCostTime,chainCodeCostTime
1,,14.800000011920929,8.399999976158142
2,,17.599999964237213,8.400000035762787
3,,18.30000001192093,7.599999964237213
4,,16.5,7.199999988079071
5,,16.5,7.800000011920929
6,,18.5,7.699999988079071
7,,16.19999998807907,10.5
8,,16.299999952316284,7
9,,16.100000023841858,6.899999976158142
10,,19.80000001192093,8.600000023841858
11,,17.30000001192093,8.199999988079071
12,,16.69999998807907,6.5
13,,16.80000001192093,7.899999976158142
14,,20.5,8.399999976158142
15,,19.80000001192093,8
16,,14.800000011920929,9.100000023841858
17,,20.5,7.199999988079071
18,,22.099999964237213,14.600000023841858
19,,17.600000023841858,8.800000011920929
20,,16.600000023841858,7.399999976158142
21,,24.400000035762787,7.100000023841858
22,,19,8.800000011920929
23,,18,8.699999988079071
24,,15.199999988079071,8.899999976158142
25,,20.80000001192093,7.699999988079071
26,,16.100000023841858,7.400000035762787
27,,16.80000001192093,7.600000023841858
28,,20.200000047683716,7.899999976158142
29,,18.30000001192093,8.699999988079071
30,,26.600000023841858,14.800000011920929
31,,14,9.199999988079071
32,,19.100000023841858,7.399999976158142
33,,19.19999998807907,7.5
34,,17,7.600000023841858
35,,18.100000023841858,7.699999988079071
36,,16.099999964237213,7.300000011920929
37,,17.399999976158142,7.300000011920929
38,,16.900000035762787,7.099999964237213
39,,19.899999976158142,8.099999964237213
40,,21.80000001192093,7
41,,26.600000023841858,13.600000023841858
42,,17,7
43,,15.300000011920929,9.699999988079071
44,,16.900000035762787,7.599999964237213
45,,15,7.600000023841858
46,,15.800000011920929,7.299999952316284
47,,16.399999976158142,7.5
48,,18,9.300000011920929
49,,20.599999964237213,11.299999952316284
50,,19.80000001192093,8
