Index,TimeCost
1,9.800000011920929
2,9.800000011920929
3,13.300000011920929
4,9
5,9.399999976158142
6,7.800000011920929
7,9.900000035762787
8,9.899999976158142
9,12
10,8.900000035762787
11,11.599999964237213
12,8.800000011920929
13,8.700000047683716
14,9.900000035762787
15,13.700000047683716
16,12.100000023841858
17,9
18,8.599999964237213
19,8.599999964237213
20,10.900000035762787
21,9.600000023841858
22,9.900000035762787
23,10.200000047683716
24,10.400000035762787
25,10.699999988079071
26,10.700000047683716
27,7
28,10.800000011920929
29,9.800000011920929
30,12.400000035762787
31,9.200000047683716
32,70.30000001192093
33,11.199999988079071
34,9
35,7.5
36,7.5
37,7.700000047683716
38,15.300000011920929
39,9.800000011920929
40,9.300000011920929
41,11.900000035762787
42,10.600000023841858
43,9.299999952316284
44,13
45,9.199999988079071
46,12.099999964237213
47,13.599999964237213
48,12.400000035762787
49,15
50,10.199999988079071
