Index,TimeCost
1,10.300000011920929
2,10.100000023841858
3,10
4,8.899999976158142
5,10.699999988079071
6,8.899999976158142
7,9.599999964237213
8,7.399999976158142
9,7.100000023841858
10,8.800000011920929
11,11.5
12,14.5
13,10.5
14,10.100000023841858
15,11.5
16,7.900000035762787
17,7.600000023841858
18,8
19,10.800000011920929
20,7.599999964237213
21,8.300000011920929
22,7.600000023841858
23,9.899999976158142
24,7.400000035762787
25,10.799999952316284
26,8.099999964237213
27,9.100000023841858
28,14.100000023841858
29,8.800000011920929
30,7.5
31,9.5
32,8.700000047683716
33,11.699999988079071
34,7.800000011920929
35,9.800000011920929
36,8.799999952316284
37,11.800000011920929
38,8.399999976158142
39,13.5
40,11.199999988079071
41,7.5
42,7.199999988079071
43,8.900000035762787
44,8.099999964237213
45,9.800000011920929
46,8.5
47,9.800000011920929
48,7.199999988079071
49,10.399999976158142
50,8.899999976158142
