index,timeCost
1,15
2,13
3,15
4,13
5,12
6,13
7,15
8,16
9,18
10,16
11,15
12,16
13,26
14,17
15,17
16,18
17,17
18,15
19,21
20,16
21,16
22,17
23,16
24,14
25,16
26,15
27,17
28,20
29,17
30,15
31,15
32,16
33,20
34,17
35,16
36,16
37,18
38,17
39,19
40,13
41,14
42,14
43,15
44,16
45,13
46,13
47,13
48,18
49,20
50,16
