Index,TimeCost
1,9.699999988079071
2,8.599999964237213
3,8.800000011920929
4,8.800000011920929
5,9.099999964237213
6,9.600000023841858
7,10
8,9.599999964237213
9,11.800000011920929
10,10
11,9.5
12,10.399999976158142
13,13.300000011920929
14,8.300000011920929
15,9.600000023841858
16,13.199999988079071
17,10.300000011920929
18,10.5
19,7.599999964237213
20,9.800000011920929
21,8.799999952316284
22,13.199999988079071
23,9.100000023841858
24,10.200000047683716
25,11.899999976158142
26,9.5
27,6.200000047683716
28,8.800000011920929
29,12.400000035762787
30,10.300000011920929
31,7.5
32,10
33,9
34,9.100000023841858
35,8.899999976158142
36,6.899999976158142
37,13.399999976158142
38,9.899999976158142
39,9.199999988079071
40,9
41,11.199999988079071
42,8.699999988079071
43,10.600000023841858
44,9.899999976158142
45,9.399999976158142
46,10.400000035762787
47,11
48,8
49,9.199999988079071
50,13.199999988079071
