Index,TimeCost
1,10.300000011920929
2,10.700000047683716
3,9.599999964237213
4,8
5,14
6,10.600000023841858
7,32.30000001192093
8,10.100000023841858
9,9.199999988079071
10,11.800000011920929
11,11.100000023841858
12,9.800000011920929
13,10.800000011920929
14,11.900000035762787
15,10.199999988079071
16,8.699999988079071
17,10.299999952316284
18,10.100000023841858
19,7.300000011920929
20,10.400000035762787
21,8.699999988079071
22,11.5
23,9
24,11.099999964237213
25,15.399999976158142
26,10.400000035762787
27,14.300000011920929
28,12.800000011920929
29,10.300000011920929
30,12.200000047683716
31,13.800000011920929
32,11.199999988079071
33,9.699999988079071
34,11.199999988079071
35,13
36,9.5
37,7.5
38,9.200000047683716
39,9.800000011920929
40,10.800000011920929
41,10.400000035762787
42,10.900000035762787
43,9.600000023841858
44,7.5
45,11.5
46,8.599999964237213
47,9.699999988079071
48,9.099999964237213
49,9.199999988079071
50,10
